Season,Team,Goals,Player,Minutes,Shots,Touches,Woodwork,Offsides,Dispossessions,BCM
06/07,Chelsea,20,Didier Drogba,2944,121,1330,1,43,,6
06/07,Blackburn,18,Benni McCarthy,3067,79,1231,1,64,,
06/07,Man United,17,Cristiano Ronaldo,2790,185,1955,7,0,,
06/07,Man United,14,Wayne Rooney,2931,132,1713,5,15,,10
06/07,Tottenham,12,Dimitar Berbatov,2717,91,1437,0,54,,11
06/07,Charlton,13,Darren Bent,2866,75,974,3,53,,17
06/07,Bolton,11,Nicolas Anelka,3016,82,1148,1,34,,11
06/07,Arsenal,11,Robin van Persie,1460,66,765,1,15,,9
06/07,Arsenal,8,Emmanuel Adebayor,1987,67,1112,5,36,,15
06/07,West Ham,7,Carlos Tevez,1702,68,914,3,15,,6
06/07,Man City,0,Daniel Sturridge,19,0,4,0,0,,0

07/08,Man United,31,Cristiano Ronaldo,2747,174,1938,5,11,87,
07/08,Liverpool,24,Fernando Torres,2542,109,1137,3,27,90,11
07/08,Arsenal,24,Emmanuel Adebayor,2932,123,1855,1,66,120,28
07/08,Chelsea,8,Didier Drogba,1529,61,817,0,23,79,3
07/08,Blackburn,8,Benni McCarthy,1693,37,890,0,28,49,
07/08,Man United,12,Wayne Rooney,2184,109,1438,4,24,59,8
07/08,Tottenham,15,Dimitar Berbatov,2922,101,1826,5,45,117,13
07/08,Tottenham,6,Darren Bent,1134,41,358,2,12,18,9
07/08,Bolton,10,Nicolas Anelka,2572,88,1153,5,50,64,11
07/08,Arsenal,7,Robin van Persie,1079,54,630,2,10,27,7
07/08,Man United,14,Carlos Tevez,2686,101,1658,2,30,99,10
07/08,Tottenham,2,Gareth Bale,615,9,425,1,3,16,1
07/08,Man City,1,Daniel Sturridge,152,1,55,0,3,4,0

08/09,Chelsea,19,Nicolas Anelka,2927,111,1535,4,32,55,14
08/09,Man United,18,Cristiano Ronaldo,2749,181,2167,2,21,81,
08/09,Chelsea,5,Didier Drogba,1549,58,836,1,19,55,3
08/09,Blackburn,10,Benni McCarthy,1520,49,706,2,33,25,
08/09,Man United,12,Wayne Rooney,2264,123,1801,0,30,71,9
08/09,Man United,9,Dimitar Berbatov,2567,57,1813,1,20,77,7
08/09,Tottenham,12,Darren Bent,2165,63,809,0,27,32,14
08/09,Arsenal,11,Robin van Persie,2198,116,1308,7,12,58,16
08/09,Arsenal,10,Emmanuel Adebayor,1879,78,1163,3,48,70,18
08/09,Man United,5,Carlos Tevez,1859,66,1214,3,13,51,6
08/09,Liverpool,14,Fernando Torres,1733,86,803,6,19,36,9
08/09,Tottenham,0,Gareth Bale,993,23,865,1,0,19,3
08/09,Man City,4,Daniel Sturridge,434,22,236,1,0,14,2

09/10,Chelsea,29,Didier Drogba,2774,178,1408,2,35,75,9
09/10,Man United,26,Wayne Rooney,2723,182,1947,6,29,87,13
09/10,Sunderland,24,Darren Bent,3388,115,1354,3,58,44,26
09/10,Blackburn,1,Benni McCarthy,711,37,5393,3,10,32,
09/10,Man United,12,Dimitar Berbatov,2096,98,1396,1,23,71,12
09/10,Chelsea,11,Nicolas Anelka,2701,98,1591,2,25,65,13
09/10,Arsenal,9,Robin van Persie,1256,76,741,5,18,32,11
09/10,Man City,14,Emmanuel Adebayor,2212,56,1287,0,46,83,13
09/10,Man City,23,Carlos Tevez,2868,126,1798,4,16,93,12
09/10,Liverpool,18,Fernando Torres,1715,80,776,3,21,47,8
09/10,Tottenham,3,Gareth Bale,1707,39,1458,0,3,37,5
09/10,Chelsea,1,Daniel Sturridge,289,16,141,0,0,7,2

10/11,Man United,20,Dimitar Berbatov,2210,98,1229,3,36,44,15
10/11,Man City,20,Carlos Tevez,2531,120,1616,2,30,82,16
10/11,Arsenal,18,Robin van Persie,1768,97,1079,5,11,41,15
10/11,Chelsea,11,Didier Drogba,2793,150,1565,6,29,88,11
10/11,West Ham,0,Benni McCarthy,74,1,42,0,0,3,0
10/11,Man United,11,Wayne Rooney,2226,99,1589,0,18,56,8
10/11,Sunderland,17,Darren Bent,3149,100,1152,2,67,49,22
10/11,Chelsea,6,Nicolas Anelka,2362,74,1478,3,23,61,5
10/11,Man City,1,Emmanuel Adebayor,240,8,143,0,8,5,5
10/11,Liverpool,10,Fernando Torres,2658,111,1239,3,30,92,10
10/11,Liverpool,4,Luis Suarez,1102,55,791,3,11,26,1
10/11,Tottenham,7,Gareth Bale,2451,63,1757,4,8,43,7
10/11,Chelsea,8,Daniel Sturridge,1118,70,522,1,8,32,11

11/12,Arsenal,30,Robin van Persie,3334,174,1758,10,44,90,25
11/12,Man United,27,Wayne Rooney,2839,157,2209,4,2,73,15
11/12,Man City,23,Sergio Aguero,2600,130,1404,2,31,95,17
11/12,Chelsea,5,Didier Drogba,1480,65,706,2,10,44,1
11/12,Man United,7,Dimitar Berbatov,512,16,312,1,3,14,2
11/12,Aston Villa,11,Darren Bent,1862,43,579,0,39,19,12
11/12,Chelsea,1,Nicolas Anelka,411,15,263,2,3,14,3
11/12,Tottenham,17,Emmanuel Adebayor,2840,100,1681,0,52,105,24
11/12,Man City,4,Carlos Tevez,601,33,545,0,4,26,1
11/12,Chelsea,6,Fernando Torres,1904,66,961,4,11,62,7
11/12,Liverpool,11,Luis Suarez,2556,128,1744,8,48,67,21
11/12,Tottenham,9,Gareth Bale,3217,136,2379,4,5,57,9
11/12,Chelsea,11,Daniel Sturridge,2268,93,1095,1,6,71,10
11/12,Chelsea,0,Romelu Lukaku,158,9,104,0,2,12,0

12/13,Man United,26,Robin van Persie,3123,141,1646,7,46,76,23
12/13,Liverpool,23,Luis Suarez,2955,187,2059,6,39,94,14
12/13,Tottenham,21,Gareth Bale,2924,165,2096,6,11,53,5
12/13,Man United,12,Wayne Rooney,2019,86,1609,3,1,50,8
12/13,Fulham,15,Dimitar Berbatov,2847,81,1956,2,36,73,7
12/13,Aston Villa,3,Darren Bent,805,19,249,0,9,11,2
12/13,Tottenham,5,Emmanuel Adebayor,1597,42,891,2,21,60,10
12/13,Man City,11,Carlos Tevez,2408,105,1679,1,18,63,9
12/13,Chelsea,8,Fernando Torres,2570,68,1105,1,29,68,9
12/13,Man City,12,Sergio Aguero,1941,86,1123,2,14,83,18
12/13,Liverpool,11,Daniel Sturridge,1092,70,682,2,15,31,13
12/13,Tottenham,0,Harry Kane,138,4,62,0,1,7,0
12/13,West Brom,17,Romelu Lukaku,2003,97,927,6,42,47,15

13/14,Liverpool,31,Luis Suarez,2964,181,2152,9,33,60,14
13/14,Liverpool,21,Daniel Sturridge,2275,99,1137,5,19,52,11
13/14,Man United,17,Wayne Rooney,2448,101,1975,3,15,65,7
13/14,Fulham,4,Dimitar Berbatov,1568,35,906,1,21,37,6
13/14,Fulham,3,Darren Bent,1239,21,355,2,9,14,7
13/14,West Brom,2,Nicolas Anelka,856,15,460,0,17,20,6
13/14,Man United,12,Robin van Persie,1584,62,659,4,22,27,8
13/14,Tottenham,11,Emmanuel Adebayor,1808,44,1142,29,78,0,9
13/14,Chelsea,5,Fernando Torres,1571,61,768,1,21,36,6
13/14,Man City,17,Sergio Aguero,1539,86,868,2,18,49,11
13/14,Tottenham,3,Harry Kane,499,28,266,0,5,9,8
13/14,Everton,15,Romelu Lukaku,2602,101,1217,0,19,54,6

14/15,Man City,26,Sergio Aguero,2539,148,1413,6,33,89,16
14/15,Tottenham,21,Harry Kane,2581,112,1493,3,34,95,12
14/15,Chelsea,20,Diego Costa,2082,76,1107,2,25,70,7
14/15,Chelsea,4,Didier Drogba,856,30,532,0,12,38,1
14/15,Man United,12,Wayne Rooney,2876,79,2203,2,14,63,1
14/15,Aston Villa,0,Darren Bent,78,1,21,0,2,0,0
14/15,Man United,10,Robin van Persie,2114,76,868,3,20,40,9
14/15,Tottenham,2,Emmanuel Adebayor,814,19,397,0,0,20,3
14/15,Liverpool,4,Daniel Sturridge,750,39,405,2,6,28,3
